STARTED,ID,german,blob,order_1,order_2,VR06,VR17,VR02_01,VR02_02,VR02_03,VR02_04,VR02_05,VR02_06,VR02_06a,VR02_07,VR13_01,VR13_02,VR13_03,VR13_04,VR13_05,VR13_06,VR13_06a,VR13_07,VR03_01,VR03_02,VR03_03,VR03_06,VR14_01,VR14_02,VR14_03,VR14_06,VR05_01,VR05_02,VR05_03,VR05_06,VR05_07,VR05_08,VR05_08a,VR05_09,VR16_01,VR16_02,VR16_03,VR16_06,VR16_07,VR16_08,VR16_08a,VR16_09,SSQ_N_FP,SSQ_O_FP,SSQ_D_FP,SSQ_TS_FP,SSQ_N_H,SSQ_O_H,SSQ_D_H,SSQ_TS_H,SSQ_N_AVG,SSQ_O_AVG,SSQ_D_AVG,SSQ_TS_AVG,P_FP,P_H,P_AVG,EB_EL_FP,EB_PA_FP,EB_EL_H,EB_PA_H,EB_SP_FP,EB_SP_H,EB_SP_AVG,EB_SL_FP,EB_A_FP,EB_O_FP,EB_SL_H,EB_A_H,EB_O_H,EB_EB_FP,EB_EB_H,EB_EB_AVG,H_0_MS,H_1_MS,H_2_MS,H_3_MS,H_4_MS,H_AVG_MS,FP_0_MS,FP_1_MS,FP_2_MS,FP_3_MS,FP_4_MS,FP_AVG_MS
2021-12-08 09:16:47,028,1,0,01342,03241,1.0,,1.0,2.0,1.0,2.0,1.0,2.0,zelda,1.0,,,,,,,,,1.0,2.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,2.0,Vom prozesse lab nebenan und von den coxis an der wachsbleiche,2.0,,,,,,,,,38.16,68.22,97.44,762.2868,47.699999999999996,75.8,97.44,826.3156,42.92999999999999,72.00999999999999,97.44,794.3012,93.0,98.0,95.5,14.0,10.0,11.0,9.0,24.0,20.0,22.0,5.0,10.0,10.0,7.0,7.0,7.0,25.0,21.0,23.0,1,2,4,3,3,2.6,1,2,1,1,2,1.4
2021-12-08 13:23:42,029,1,1,01423,03412,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,104.94,60.64,83.52,931.6339999999999,19.08,30.32,41.76,340.9384,62.01,45.480000000000004,62.64,636.2862,118.0,92.0,105.0,12.0,12.0,6.0,11.0,24.0,17.0,20.5,6.0,11.0,8.0,6.0,8.0,9.0,25.0,23.0,24.0,0,0,0,1,0,0.2,0,4,3,2,3,2.4
2021-12-09 09:16:49,030,1,0,01432,03421,1.0,,1.0,2.0,2.0,1.0,2.0,1.0,,1.0,,,,,,,,,1.0,2.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,28.619999999999997,30.32,41.76,376.618,19.08,15.16,13.92,180.1184,23.849999999999998,22.740000000000002,27.84,278.3682,112.0,90.0,101.0,9.0,14.0,8.0,13.0,23.0,21.0,22.0,4.0,12.0,11.0,7.0,9.0,11.0,27.0,27.0,27.0,0,1,0,1,2,0.8,2,1,0,3,3,1.8
2021-12-09 11:46:10,031,1,1,02134,04123,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,38.16,22.740000000000002,83.52,540.1308,0.0,30.32,27.84,217.51839999999999,19.08,26.53,55.68,378.82460000000003,105.0,90.0,97.5,19.0,11.0,10.0,13.0,30.0,23.0,26.5,5.0,9.0,10.0,7.0,10.0,8.0,24.0,25.0,24.5,0,1,0,0,1,0.4,0,1,0,1,3,1.0
2021-12-09 13:56:54,032,1,0,02143,04132,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,9.54,7.58,13.92,116.0896,0.0,7.58,0.0,28.349200000000003,4.77,7.58,6.96,72.21940000000001,126.0,124.0,125.0,18.0,16.0,14.0,13.0,34.0,27.0,30.5,5.0,17.0,13.0,6.0,13.0,9.0,35.0,28.0,31.5,1,1,1,1,1,1.0,1,1,1,1,1,1.0
2021-12-10 09:18:07,033,1,1,02314,04213,2.0,,2.0,2.0,2.0,1.0,1.0,1.0,,1.0,,,,,,,,,2.0,2.0,1.0,1.0,,,,,1.0,2.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,28.619999999999997,22.740000000000002,27.84,296.208,9.54,22.740000000000002,13.92,172.788,19.08,22.740000000000002,20.88,234.49800000000002,116.0,106.0,111.0,13.0,16.0,14.0,14.0,29.0,28.0,28.5,5.0,12.0,11.0,7.0,11.0,10.0,28.0,28.0,28.0,0,0,0,0,0,0.0,0,0,0,2,0,0.4
2021-12-10 11:18:59,034,0,0,02341,04231,,2.0,,,,,,,,,2.0,2.0,1.0,2.0,1.0,1.0,,1.0,,,,,1.0,2.0,2.0,1.0,,,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,9.54,30.32,13.92,201.1372,9.54,22.740000000000002,0.0,120.72720000000001,9.54,26.53,6.96,160.93220000000002,117.0,130.0,123.5,13.0,13.0,15.0,16.0,26.0,31.0,28.5,3.0,12.0,8.0,9.0,16.0,9.0,23.0,34.0,28.5,0,0,0,0,0,0.0,0,1,0,0,0,0.2
2021-12-10 14:14:17,035,1,1,02413,04312,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,47.699999999999996,53.06,97.44,741.268,47.699999999999996,60.64,111.36,821.678,47.699999999999996,56.85,104.4,781.473,99.0,102.0,100.5,14.0,10.0,8.0,10.0,24.0,18.0,21.0,6.0,8.0,9.0,5.0,9.0,12.0,23.0,26.0,24.5,0,4,1,1,2,1.6,0,2,2,3,4,2.2
2021-12-13 09:12:59,036,1,0,02431,04321,1.0,,2.0,2.0,2.0,2.0,1.0,1.0,,1.0,,,,,,,,,1.0,1.0,1.0,2.0,,,,,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,9.54,30.32,41.76,305.2588,9.54,22.740000000000002,41.76,276.9096,9.54,26.53,41.76,291.0842,146.0,130.0,138.0,20.0,18.0,16.0,16.0,38.0,32.0,35.0,6.0,15.0,13.0,6.0,13.0,12.0,34.0,31.0,32.5,0,1,0,0,0,0.2,0,1,0,0,1,0.4
2021-12-14 10:55:17,037,1,1,01234,03124,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,9.54,0.0,0.0,35.6796,9.54,0.0,0.0,35.6796,9.54,0.0,0.0,35.6796,138.0,115.0,126.5,18.0,18.0,15.0,15.0,36.0,30.0,33.0,6.0,15.0,11.0,6.0,10.0,8.0,32.0,24.0,28.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
2021-12-15 09:16:01,038,1,0,01243,03142,2.0,,1.0,2.0,2.0,1.0,1.0,2.0,League of Legends,1.0,,,,,,,,,1.0,1.0,1.0,2.0,,,,,1.0,2.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,38.16,45.480000000000004,83.52,625.1784,9.54,22.740000000000002,41.76,276.9096,23.849999999999998,34.11,62.64,451.044,105.0,127.0,116.0,12.0,11.0,9.0,16.0,23.0,25.0,24.0,5.0,12.0,9.0,5.0,14.0,7.0,26.0,26.0,26.0,0,1,0,0,0,0.2,1,1,0,3,2,1.4
